hours; total             ; analyzed         ; missing          ; relation_number ; proportion         ; rep               ; row_number ; weight_sum        ; relation_number 
44.25;86541206.18;20351623.93;23900696.24;1317;0.235166862;0.459899591;256938;86547178.51;43256
44.5;87233205.32;20516971.85;24188676.77;1323;0.235196813;0.458934665;257979;87233205.32;43385
44.75;87757656.71;20646879.92;24367624.8;1327;0.23527155;0.458671711;258403;87757656.71;43442
45;88200459.83;20748802.23;24419846.02;1330;0.235245964;0.459362922;258684;88200459.83;43467
45.25;88856378.2;20890147.38;24513101.48;1331;0.235100145;0.46010248;259695;88856439.99;43585
45.5;89414637.97;21003573.39;24614287.87;1333;0.234900838;0.460424334;260177;89414637.97;43628
45.75;89907520.37;21144495.74;24678991.8;1339;0.235180502;0.461433576;260722;89914659.26;43686
46;90485812.96;21280033.45;24294981.73;1341;0.235175358;0.466923233;261442;90485944.21;43766
46.25;91147706.22;21776509.86;24725146.88;1345;0.238914513;0.468295355;262322;91147706.22;43809
46.5;91707351.1;21919440.38;24681593.49;1347;0.239015086;0.470363822;263130;91707351.1;43868
46.75;92297816.52;22037963.19;24965521.62;1349;0.238770147;0.46885807;263618;92297816.52;43932
47;92859611.07;21840624.77;24835302.66;1354;0.235200477;0.467920532;264207;92864511.69;43970
47.25;93385665.47;22291835.47;25011649.92;1356;0.238707251;0.471251437;264635;93385665.47;44019
47.5;93973697.09;22455071.26;25273663.45;1361;0.2389506;0.470472796;265743;93973697.09;44147
47.75;94574009.73;22590392.65;25777136.23;1365;0.238864702;0.467056994;266139;94574009.73;44181
48;95212474.96;22703671.08;25920588.35;1368;0.238452693;0.466920655;266500;95215395.63;44238
48.25;95759872.68;22835608.23;25964769.43;1372;0.238467404;0.46793917;267126;95761358.84;44298
48.5;96369953.71;22984543.84;26029588.07;1373;0.238503216;0.468937079;267476;96369953.71;44340
48.75;96984681.96;22784852.93;25909313.82;1376;0.234932491;0.467917503;268175;96984880.81;44432
49;97686006.52;22937778.64;25935905.67;1377;0.234811305;0.469327798;268516;97691967.75;44484
